#,¿En qué rango de edad te encuentras?,¿Cuántas personas sois en vuestro hogar?,¿En qué provincia vives? Vamos a conocernos un poco mejor 😄,¿De cuál de estos temas te interesaría saber más?,¿Cuánto duran tus duchas?,¿Cuántas veces pones la lavadora a la semana?,¿Cuántas veces pones el lavavajillas?,¿Sueles poner el modo *ECO *en tus electrodomésticos?,¿Reciclas agua para usarlo en otras tareas?,"¿*Reciclas *vidrio, cartón y plástico?",¿Cada cuánto consumes *carne*?,¿Cuántos km haces a la semana en coche?,¿Cuánto gastas al mes en comida para gato/perro?,¿Cuántos metros cuadrados tiene tu jardín?,¿Sabes cuánto dinero gastas en tu consumo de agua al mes?,Start Date (UTC),Submit Date (UTC),Network ID,Tags
x0z7dharxz61aofacpx0z7dhgqjszw93,Entre 36 y 65 años,4,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:35:36,2023-05-16 14:37:16,a6b37a6b62,
8z1t2aewlr3x6188z1t5h64yw16duesv,Entre 36 y 65 años,2,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,A veces,Si,Siempre,1 vez cada 3 días,Más de 200 km,No tengo mascota,0,Menos de 10 €,2023-05-16 14:34:03,2023-05-16 14:37:11,af85eeabbe,
hm432anlwlutkxpsgphmig6nme8hxp5w,Entre 36 y 65 años,1,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:31:14,2023-05-16 14:33:11,766275a4b0,
t7zhnylatjxj7tnqt7zhnpfv0w11wf9m,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez al día,No uso coche,No tengo mascota,,Entre 10€ y 40 €,2023-05-16 14:30:49,2023-05-16 14:32:48,913c34b0dc,
2vb7hl524xvek2vb7fxggcgsb6xa5o3o,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Más de 15 minutos,Entre 3 y 5 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,No uso coche,Menos de 50 €,0,Menos de 10 €,2023-05-16 14:27:57,2023-05-16 14:30:33,e8a8a1b223,
ovs0yqhpf2difovspvlce6olq6zlpg7a,Entre 36 y 65 años,3,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!,2023-05-16 14:28:01,2023-05-16 14:30:28,a6f54331d3,
3zgc1j4x1agq2vj3jdeetsn73zgc1ic5,Mayor de 65 años,2,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,1 vez al día,Siempre,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,No tengo,Entre 10€ y 40 €,2023-05-16 14:25:15,2023-05-16 14:28:38,5f1158d150,
9iqqfi01eb3pptsmrb267m9iqqfynuu0,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez al día,100 - 200 km,No tengo mascota,,Entre 10€ y 40 €,2023-05-16 14:25:06,2023-05-16 14:28:17,1dfe1f1075,
zkclhncya8qbydix7c4wzkclhn97v0tg,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Más de 5,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:26:00,2023-05-16 14:28:01,77e9be4526,
9g2n0ott56z2mlav8bs9g2n0f5idigym,Entre 18 y 35 años,4,Ciudad Real,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez al día,No uso coche,No tengo mascota,90,Entre 10€ y 40 €,2023-05-16 14:26:27,2023-05-16 14:27:57,1681eb52bb,
