,Age,Residents,Province,Interests,Shower,WashingMachine,DishWasher,EcoMode,WaterRecycling,GeneralRecycling,Meat,Gasoline,Pet,Garden,Estimation,AnnualWaterFootprint,DiaryWaterFootprint,AnnualCost,DiaryCost,AnnualDirectWaterFootprint,DiaryDirectWaterFootprint,DirectAnnualCost,DirectDiaryCost
0,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Ni idea!,3329786,9122.7,6359891,17424.36,43195.66,118.34,82503.71,226.04
1,Entre 36 y 65 años,3,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,300,Ni idea!,2579292,7066.55,4926448,13497.12,13807.99,37.83,26373.25,72.26
2,Entre 36 y 65 años,2,Segovia,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,A veces,1 vez a la semana,100 - 200 km,No tengo mascota,0,Ni idea!,2637263,7225.38,5037173,13800.47,148633.33,407.21,283889.67,777.78
3,Entre 18 y 35 años,2,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Ni idea!,3329117,9120.87,6358613,17420.86,137632.99,377.08,262879.0,720.22
4,Entre 36 y 65 años,2,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,Si,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,2,Entre 10€ y 40 €,2675268,7329.5,5109761,13999.35,143295.66,392.59,273694.71,749.85
5,Entre 36 y 65 años,3,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,100 - 200 km,Menos de 50 €,0,Entre 10€ y 40 €,2483074,6802.94,4742671,12993.62,42870.66,117.45,81882.96,224.34
6,Entre 36 y 65 años,5,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,Siempre,1 vez cada 3 días,Más de 200 km,Menos de 50 €,20,Ni idea!,2515181,6890.91,4803996,13161.63,23687.99,64.9,45244.05,123.96
7,Entre 18 y 35 años,3,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,3210225,8795.14,6131529,16798.71,19470.66,53.34,37188.96,101.89
8,Mayor de 65 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Más de 40 €,2585800,7084.38,4938877,13531.17,143295.66,392.59,273694.71,749.85
9,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2579082,7065.98,4926047,13496.02,137307.99,376.19,262258.25,718.52
10,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €,2533170,6940.19,4838355,13255.77,137632.99,377.08,262879.0,720.22
11,Entre 36 y 65 años,2,Sevilla,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,A veces,1 vez a la semana,Más de 200 km,No tengo mascota,12,Entre 10€ y 40 €,2676775,7333.63,5112640,14007.23,137632.99,377.08,262879.0,720.22
12,Entre 18 y 35 años,2,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,No sabía que existía ese modo,Si,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,3208293,8789.84,6127840,16788.6,48533.33,132.97,92698.67,253.97
13,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,400,Más de 40 €,2708325,7420.07,5172900,14172.33,142970.66,391.7,273073.96,748.15
14,Entre 36 y 65 años,3,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,100 - 200 km,Más de 100 €,0,Más de 40 €,3494271,9573.34,6674057,18285.09,42870.66,117.45,81882.96,224.34
15,Entre 18 y 35 años,3,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,40,Menos de 10 €,3205127,8781.17,6121793,16772.03,14132.99,38.72,26994.0,73.96
16,Entre 18 y 35 años,4,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!,3180286,8713.11,6074346,16642.04,19795.66,54.23,37809.71,103.59
17,Entre 36 y 65 años,3,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,Si,Nunca!,1 vez cada 3 días,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €,2718316,7447.44,5191983,14224.61,58795.66,161.08,112299.71,307.67
18,Entre 18 y 35 años,2,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,100 - 200 km,Entre 50 y 100 €,0,Entre 10€ y 40 €,2621428,7181.99,5006927,13717.61,13807.99,37.83,26373.25,72.26
19,Entre 18 y 35 años,4,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,No sabía que existía ese modo,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Ni idea!,3335123,9137.32,6370086,17452.29,48533.33,132.97,92698.67,253.97
20,Entre 36 y 65 años,2,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,1 vez al día,A veces,Si,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Ni idea!,3241371,8880.47,6191018,16961.69,5950.66,16.3,11365.76,31.14
21,Entre 36 y 65 años,4,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Ni idea!,3265826,8947.47,6237727,17089.66,29675.66,81.3,56680.51,155.29
22,Entre 36 y 65 años,2,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,4,Ni idea!,2485724,6810.2,4747732,13007.49,43195.66,118.34,82503.71,226.04
23,Entre 36 y 65 años,4,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,200,Menos de 10 €,3038345,8324.23,5803240,15899.29,13807.99,37.83,26373.25,72.26
24,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,Buena idea! Voy a probarlo!,A veces,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2467247,6759.58,4712442,12910.8,24012.99,65.79,45864.8,125.66
25,Entre 18 y 35 años,2,Cantabria,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,3273358,8968.1,6252114,17129.08,37207.99,101.94,71067.25,194.7
