OBJECTID,Codigo,Texto,Cod_CCAA,provNombre,provCodigo,GastoTotalSuministroAgua2019,GastoTotalSuministroAgua2018,GastoTotalSuministroAgua2017,GastoTotalSuministroAgua2016,GastoTotalSuministroAgua2015,GastoTotalAguaMineral2019,GastoTotalAguaMineral2018,GastoTotalAguaMineral2017,GastoTotalAguaMineral2016,GastoTotalAguaMineral2015,NumeroFamilias2019,NumeroFamilias2018,NumeroFamilias2017,NumeroFamilias2016,NumeroFamilias2015,GastoSuministroAgua2019,GastoSuministroAgua2018,GastoSuministroAgua2017,GastoSuministroAgua2016,GastoSuministroAgua2015,GastoAguaMineral2019,GastoAguaMineral2018,GastoAguaMineral2017,GastoAguaMineral2016,GastoAguaMineral2015,Shape__Area,Shape__Length
1,01,Araba/Álava,16,Araba,1,18594903.77,20168870.24,19932247.62,17872629.86,14669258.53,3110069.4,3204902.66,2830640.92,3221037.77,2639401.72,149619,155303,159162,149048,145535,124.281700652992,129.867872739097,125.232452595469,119.911906634104,100.795399938159,20.7865939486295,20.636450422722,17.7846528694035,21.6107413048146,18.1358554299653,5558820108.97119,899063.468120038
2,02,Albacete,08,Albacete,2,20083758.12,23582527.63,22639828.71,21688209.23,22830537.54,8992146.79,8987946.62,9652016.67,9989377.30999999,8415531.57,166670,171549,174995,174096,175322,120.500138717226,137.468173116719,129.374146175605,124.57614896379,130.220608594472,53.9518017039659,52.3928826166285,55.1559568559102,57.3785572902306,48.0004310354662,24628869228.5267,982658.059086744
3,03,Alicante,10,Alacant,3,165517509.78,161187582.84,155439418.91,143146099.4,173085745.78,69133251.43,71967160.62,63548477.53,55435644.7099999,53910922.36,813849,801689,787000,732177,734129,203.376191136194,201.059990644751,197.508791499365,195.507506245075,235.770206298893,84.9460421159208,89.7694250763077,80.7477478144854,75.7134473085059,73.4352169169179,9507175522.64931,698025.63330713
4,04,Almería,01,Almeria,4,52587813.36,56962832.04,52448610.04,49613020.17,57511047.67,17527228.4,18378951.28,17428324.75,16892196.86,16914315.14,294966,289831,293397,282656,270037,178.284322125262,196.538093026626,178.763279924471,175.524383597023,212.974694838115,59.421182102344,63.4126483364443,59.4018505642525,59.7623855853051,62.6370280368986,13855293029.6766,764382.906516943
5,05,Ávila,07,Avila,5,6777609.20000001,7930043.61,7815320.72,7340606.49000001,6571685.12999999,2568639.82,2944907.26,3203792.64,3326665.96,2779709.44,70886,73855,77365,75086,77322,95.6128036565755,107.373144810778,101.018816260583,97.7626520256774,84.99114262435,36.236207713794,39.8741758851804,41.4113958508369,44.3047433609461,35.9497871239751,13966290525.2126,825947.404649591
6,06,Badajoz,11,Badajoz,6,35561821.92,39178039.33,42108469.97,39498222.29,50716850.18,11342872.33,12827857.5,12678550.08,11382446.74,11411787.78,291781,304923,317773,301559,296097,121.87847022253,128.485025170289,132.511163534976,130.980081144983,171.284579647886,38.8746091417879,42.0691699215868,39.8981350838492,37.7453391873564,38.5407072006809,35803975427.9983,1452121.95772957
7,07,"Balears, Illes",04,Illes Balears,7,135448818.29,154279709.58,110187086.58,100400466.81,111375452.85,61493174.1,55397372.23,55801758.5,52350922.45,54774299.62,507032,487027,475341,445621,438256,267.140571581281,316.778555562628,231.806401257203,225.304612686565,254.133321277975,121.280657039398,113.745998127414,117.393110419678,117.478580340693,124.982429493264,8397658627.66113,1885480.05757611
8,08,Barcelona,09,Barcelona,8,493776043.45,469298977.820001,482130569.98,426081994.87,533156822.22,194362570.31,219181084.17,177993731.99,158869141.74,163415528.35,2301105,2270359,2180408,2110280,2093655,214.582143557117,206.706947148007,221.119428097861,201.907801272817,254.653618776733,84.4648854832787,96.5402758638612,81.6332227683993,75.2834418844893,78.0527490680174,13892170131.686,1078123.66612687
9,09,Burgos,07,Burgos,9,17665566.68,16357138.4,19305651.27,18813273.26,16647080.47,6983376.94,6325894.48,8422274.69,7340161.84999999,6648134.7,150603,155380,161601,164521,157161,117.2989029435,105.271839361565,119.464924536358,114.351804693626,105.923737250336,46.3694411133908,40.7124113785558,52.1177139374138,44.6153491043696,42.3014278351499,26203493267.0414,1529009.09644149
10,10,Cáceres,11,Caceres,10,20413156.55,23124213.82,24345592.68,23822826.28,29301791.39,5936343.19,6886854.55,6968882.04,7467721.37,6921187.95,170013,178833,183406,177021,178967,120.068209783958,129.306189685349,132.741527976184,134.576272193695,163.727342973844,34.9169957003288,38.509976067057,37.9970232162525,42.1855111540439,38.6729841255651,33620075362.1094,1242296.33844761
